time_s,x,y,psi,u,v,r,f1,f2,f3,f4
5.000154,-0.1119996330803651,-0.07959838310961587,-0.672792434797941,0.1080538942369256,-0.0215548136380062,-0.088549026972656,6.0,6.0,3.2864643335342407,2.5806643962860107
5.10011,-0.09334087152039375,-0.0933254123200529,-0.680013179839769,0.1259898275664705,-0.013697044683151,-0.082338236646505,6.0,6.0,4.933564364910126,0.9335643649101257
5.200187,-0.08784515370858564,-0.11236165806076477,-0.6844718078274807,0.1381247504266154,-0.0304436559383058,-0.0786168308911931,6.0,6.0,4.933564364910126,0.9335643649101257
5.300062,-0.07630113145963255,-0.15110483689123433,-0.6800158447475804,0.1673716516357334,-0.0608710500426611,-0.0534351573630792,6.0,6.0,5.100484490394592,1.1004844903945923
5.40013,-0.04064643243166842,-0.16568912993439705,-0.6646111029612949,0.2047783813101527,-0.0384603446152968,-0.0128353156061895,1.785361647605896,1.785361647605896,0.3447595685720444,0.3447595685720444
5.500064,-0.02782185243919804,-0.18921727066674673,-0.650790583966836,0.2216860534508215,-0.0520016092485752,0.0169261787609544,-0.0,-0.0,0.0,0.0
5.600197,0.022879409843975313,-0.208271129286724,-0.6245018050335109,0.2662412065690024,-0.0222231597946188,0.0656082660147597,-0.0,-0.0,0.0,0.0
5.700076,0.04032425683708932,-0.23907956704763775,-0.6002647882817174,0.2785318157446916,-0.0435400363154329,0.1035551305524029,3.8369765281677246,3.8369765281677246,1.0758320540189743,0.908956840634346
5.80011,0.08806866653448392,-0.23909667962415695,-0.6009344206527967,0.308508695206191,0.0060803789875139,0.0887543006548955,5.7781466245651245,5.7781466245651245,2.1949940621852875,0.6783654391765594
5.900112,0.1103302510727305,-0.2690465062946534,-0.5821812145580862,0.3072399348651001,-0.0133548414359093,0.1067428958392446,6.0,6.0,5.15252685546875,1.15252685546875
6.000213,0.15364422972847097,-0.271363683294985,-0.5666515021970042,0.3273148255418494,0.0153366285638824,0.1196542346555303,3.7313504219055176,3.7313504219055176,5.318868517875671,1.3188685178756714
6.100074,0.16759349451190148,-0.2894203259882403,-0.5511152059862043,0.3287041120298596,0.0014799681454894,0.1334797582660704,-0.0,-0.0,1.1649492979049683,-1.1649492979049683
6.200108,0.22117673786901235,-0.3090801130051989,-0.50021748847707,0.3598854917331404,0.0123876434439594,0.1966800436044466,-0.0,-0.0,1.1649492979049683,-1.1649492979049683
6.300041,0.23601037707934966,-0.3284971886383316,-0.4744174491781914,0.3589945648402886,-0.0060359029553173,0.2206768303226603,-0.0,-0.0,0.0,0.0
6.400044,0.2915491693614184,-0.34011312410628947,-0.43535518708165943,0.3844604343637422,0.0163598918024198,0.2463008980986773,2.349921941757202,2.349921941757202,7.182874917984009,4.817125082015991
6.500045,0.31244008494636566,-0.3626158305652504,-0.40135216715731525,0.3682119622695495,-0.0060527165549403,0.2617027011297403,2.349921941757202,2.349921941757202,7.992804050445557,4.007195949554443
6.600496,0.3577834158959605,-0.3512177629959878,-0.38104319705121226,0.3838244791573696,0.0385927073357369,0.2641034865965621,2.0542457699775696,2.0542457699775696,5.989826083183289,2.5353041887283325
6.700137,0.41621729359278786,-0.3570910857803119,-0.3192303240851877,0.4144968780009487,0.05599433551534,0.3252423960180806,-0.0,-0.0,0.0,0.0
6.800043,0.439757075411819,-0.3671749342407012,-0.27887793363797186,0.4020944934010038,0.0444806166882135,0.3487649655320111,-0.0,-0.0,0.0,0.0
6.900062,0.46203751546063077,-0.3820761571191309,-0.2165911766505384,0.3741000489697303,0.0228972426540473,0.3873129116501417,-0.0,-0.0,0.0,0.0
7.000041,0.5170772870767764,-0.37914994369274163,-0.17077835844528044,0.4035306839218343,0.0396479173727011,0.4019944956923199,3.0553815364837646,3.0553815364837646,0.9869974851608276,0.9869974851608276
7.100112,0.5291494608393433,-0.3843074248718858,-0.14267507839070337,0.3824527182746549,0.0303320248237715,0.4036717236252429,4.827510952949524,4.827510952949524,5.050113081932068,1.719849705696106
7.200274,0.5841614348558817,-0.37858097979153726,-0.10264175413777155,0.4001135764984335,0.0449900810715582,0.3909632624018849,5.336945056915283,5.336945056915283,5.458225727081299,1.4582257270812988
7.30012,0.5978758267058238,-0.3868294489204322,-0.05459563134157408,0.359473012640756,0.0267740790023306,0.4004808246250807,2.52011901140213,2.52011901140213,1.381595365703106,-0.944191224873066
7.400072,0.6475244569530639,-0.3809469135465984,-0.011746935460603236,0.394880928624678,0.035487301634522,0.4193475654628743,1.4534488320350647,1.4534488320350647,0.9545964598655701,-0.9545964598655701
7.50004,0.6679244405968855,-0.38827240716496936,0.04682109782733912,0.364750873052471,0.0176815617226661,0.4421776705305032,-0.0,-0.0,0.0,0.0
7.599999,0.7151306305468407,-0.37864958017711364,0.0958604811713375,0.3849584903168415,0.0252460091118852,0.4525852581216407,-0.0,-0.0,0.0,0.0
7.700031,0.7345010073351237,-0.3784537948599119,0.13290699291786234,0.3707833198535502,0.0189584602449025,0.4566396477691974,-0.0,-0.0,0.0,0.0
7.80003,0.7801025707008462,-0.3675165590594809,-6.1047178219124545,0.378916191550692,0.0219465410221847,0.4431849432918625,-0.0,-0.0,0.0,0.0
7.90008,0.8146189021094818,-0.36278301866438123,-6.0668659199506445,0.3803407858405493,0.0140065161093226,0.4304445897435956,-0.0,-0.0,0.12097857892513275,0.12097857892513275
